,Produto,Tipo Contrato,Data/Hora,MWm,MWh,Preço (R$),Cancelado
4077,SE CON MEN DEZ/19 - Preço Fixo,Balcão,08/11/2019 11:02:57,1.0,744.0,217.0,Não
4078,SE CON MEN DEZ/19 - Preço Fixo,Balcão,08/11/2019 11:01:41,3.0,2232.0,219.9,Não
4079,SE CON MEN DEZ/19 - Preço Fixo,Balcão,08/11/2019 10:47:04,1.0,744.0,216.0,Não
4080,SE CON MEN DEZ/19 - Preço Fixo,Balcão,08/11/2019 10:43:08,1.0,744.0,218.0,Não
4081,SE CON MEN DEZ/19 - Preço Fixo,Boleta,08/11/2019 10:39:26,3.0,2232.0,214.0,Não
4082,SE CON MEN DEZ/19 - Preço Fixo,Balcão,08/11/2019 10:30:50,1.0,744.0,215.0,Não
4083,SE CON MEN DEZ/19 - Preço Fixo,Balcão,08/11/2019 10:30:36,1.0,744.0,215.0,Não
4084,SE CON MEN DEZ/19 - Preço Fixo,Balcão,08/11/2019 10:30:26,1.0,744.0,221.0,Não
4085,SE CON MEN DEZ/19 - Preço Fixo,Balcão,08/11/2019 10:30:26,1.7,1264.8,220.0,Não
4086,SE CON MEN DEZ/19 - Preço Fixo,Balcão,08/11/2019 10:30:26,1.0,744.0,219.0,Não
4087,SE CON MEN NOV/19 - Preço Fixo,Balcão,08/11/2019 10:29:59,1.9,1368.0,297.0,Não
4088,SE CON MEN NOV/19 - Preço Fixo,Balcão,08/11/2019 10:29:12,1.0,720.0,296.0,Não
4089,SE CON MEN NOV/19 - Preço Fixo,Balcão,08/11/2019 10:29:01,0.1,72.0,297.0,Não
4090,SE CON MEN DEZ/19 - Preço Fixo,Boleta,08/11/2019 10:19:48,5.0,3720.0,212.0,Não
4091,SE CON MEN DEZ/19 - Preço Fixo,Balcão,07/11/2019 17:30:47,0.3,223.2,207.0,Sim
4092,SE CON MEN DEZ/19 - Preço Fixo,Balcão,07/11/2019 17:30:47,0.7,520.8,210.0,Sim
4093,SE CON MEN DEZ/19 - Preço Fixo,Balcão,07/11/2019 17:27:45,5.0,3720.0,219.0,Não
4094,SE CON MEN NOV/19 - Preço Fixo,Boleta,07/11/2019 17:26:10,1.0,720.0,296.0,Não
4095,SE CON MEN JAN/20 - Preço Fixo,Boleta,07/11/2019 17:22:56,2.0,1488.0,206.0,Não
4096,SE CON MEN DEZ/19 - Preço Fixo,Boleta,07/11/2019 17:14:40,4.0,2976.0,217.5,Não
4097,SE CON MEN JAN/20 - Preço Fixo,Balcão,07/11/2019 17:13:06,1.0,744.0,205.0,Não
4098,SE CON MEN DEZ/19 - Preço Fixo,Balcão,07/11/2019 17:11:30,1.0,744.0,216.0,Não
4099,SE CON MEN DEZ/19 - Preço Fixo,Balcão,07/11/2019 17:11:30,2.0,1488.0,217.0,Não
4100,SE CON MEN DEZ/19 - Preço Fixo,Boleta,07/11/2019 17:10:21,2.0,1488.0,219.5,Não
4101,SE CON MEN DEZ/19 - Preço Fixo,Boleta,07/11/2019 17:04:19,2.0,1488.0,217.5,Sim
4102,SE CON MEN NOV/19 - Preço Fixo,Balcão,07/11/2019 16:54:23,0.9,648.0,294.0,Não
4103,SE CON MEN NOV/19 - Preço Fixo,Boleta,07/11/2019 15:51:04,2.0,1440.0,295.0,Não
