,Produto,Tipo Contrato,Data/Hora,MWm,MWh,Preço (R$),Cancelado
97,SE CON SEM JAN/20 JUN/20 - Preço Fixo,Boleta,28/11/2019 09:41:56,5.0,21840.0,174.0,Não
98,SE CON SEM JUL/20 DEZ/20 - Preço Fixo,Boleta,27/11/2019 17:41:43,6.0,26496.0,210.0,Não
99,SE CON SEM JAN/20 JUN/20 - Preço Fixo,Boleta,27/11/2019 14:30:50,3.0,13104.0,182.0,Não
100,SE CON SEM JAN/20 JUN/20 - Preço Fixo,Boleta,27/11/2019 12:42:21,2.0,8736.0,182.0,Não
101,SE CON SEM JAN/20 JUN/20 - Preço Fixo,Boleta,27/11/2019 12:34:05,2.0,8736.0,182.0,Não
102,SE CON SEM JUL/20 DEZ/20 - Preço Fixo,Boleta,27/11/2019 11:50:02,4.95,21840.0,208.0,Não
103,SE CON SEM JUL/20 DEZ/20 - Preço Fixo,Boleta,26/11/2019 15:54:45,1.0,4416.0,210.5,Não
104,SE CON SEM JUL/20 DEZ/20 - Preço Fixo,Boleta,26/11/2019 11:32:05,5.0,22080.0,212.0,Não
105,SE CON SEM JUL/20 DEZ/20 - Preço Fixo,Boleta,25/11/2019 18:21:45,4.0,17664.0,212.0,Não
106,SE CON SEM JUL/20 DEZ/20 - Preço Fixo,Boleta,25/11/2019 17:45:49,0.5,2208.0,211.0,Não
107,SE CON SEM JUL/20 DEZ/20 - Preço Fixo,Boleta,25/11/2019 14:57:38,0.25,1092.0,206.0,Não
108,SE CON SEM JUL/20 DEZ/20 - Preço Fixo,Boleta,14/11/2019 12:05:25,1.0,4416.0,216.0,Não
109,SE CON SEM JUL/20 DEZ/20 - Preço Fixo,Boleta,14/11/2019 10:52:45,1.5,6624.0,216.0,Não
110,SE CON SEM JUL/20 DEZ/20 - Preço Fixo,Boleta,14/11/2019 10:47:40,2.0,8832.0,216.0,Não
111,SE CON SEM JUL/20 DEZ/20 - Preço Fixo,Boleta,13/11/2019 16:34:41,1.0,4416.0,215.0,Não
112,SE CON SEM JUL/20 DEZ/20 - Preço Fixo,Boleta,13/11/2019 16:07:58,1.0,4416.0,215.0,Não
113,SE CON SEM JUL/20 DEZ/20 - Preço Fixo,Boleta,13/11/2019 16:02:45,1.0,4416.0,216.0,Não
114,SE CON SEM JUL/20 DEZ/20 - Preço Fixo,Balcão,13/11/2019 15:54:30,1.0,4416.0,216.0,Não
115,SE CON SEM JUL/20 DEZ/20 - Preço Fixo,Boleta,13/11/2019 15:52:20,3.0,13248.0,215.0,Não
116,SE CON SEM JUL/20 DEZ/20 - Preço Fixo,Boleta,13/11/2019 15:21:34,1.0,4416.0,214.0,Não
117,SE CON SEM JUL/20 DEZ/20 - Preço Fixo,Boleta,13/11/2019 14:45:28,4.0,17664.0,215.0,Não
118,SE CON SEM JUL/20 DEZ/20 - Preço Fixo,Balcão,13/11/2019 14:38:21,1.0,4416.0,216.0,Não
119,SE CON SEM JUL/20 DEZ/20 - Preço Fixo,Balcão,13/11/2019 14:37:23,1.0,4416.0,216.0,Não
120,SE CON SEM JUL/20 DEZ/20 - Preço Fixo,Balcão,13/11/2019 14:31:50,1.0,4416.0,215.0,Não
121,SE CON SEM JUL/20 DEZ/20 - Preço Fixo,Boleta,12/11/2019 17:36:33,2.0,8832.0,218.0,Não
122,SE CON SEM JUL/20 DEZ/20 - Preço Fixo,Balcão,12/11/2019 11:27:37,1.0,4416.0,218.0,Não
123,SE CON SEM JUL/20 DEZ/20 - Preço Fixo,Boleta,05/11/2019 14:35:38,6.0,26496.0,208.0,Não
124,SE CON SEM JAN/20 JUN/20 - Preço Fixo,Boleta,04/11/2019 17:56:11,5.4,23587.2,184.0,Não
125,SE CON SEM JUL/20 DEZ/20 - Preço Fixo,Boleta,04/11/2019 15:54:38,1.0,4416.0,205.0,Não
126,SE CON SEM JAN/20 JUN/20 - Preço Fixo,Boleta,04/11/2019 11:59:47,10.0,43680.0,175.0,Não
127,SE CON SEM JUL/20 DEZ/20 - Preço Fixo,Boleta,01/11/2019 17:43:08,5.0,22080.0,200.0,Não
128,SE CON SEM JUL/20 DEZ/20 - Preço Fixo,Boleta,01/11/2019 17:30:56,3.0,13248.0,200.0,Não
129,SE CON SEM JUL/20 DEZ/20 - Preço Fixo,Boleta,01/11/2019 17:25:05,2.0,8832.0,210.0,Não
130,SE CON SEM JUL/20 DEZ/20 - Preço Fixo,Boleta,01/11/2019 16:46:04,3.0,13248.0,210.0,Não
131,SE CON SEM JUL/20 DEZ/20 - Preço Fixo,Boleta,01/11/2019 15:46:36,1.0,4416.0,210.0,Não
132,SE CON SEM JUL/20 DEZ/20 - Preço Fixo,Balcão,01/11/2019 15:25:34,1.0,4416.0,210.0,Não
