,Produto,Tipo Contrato,Data/Hora,MWm,MWh,Preço (R$),Cancelado
150,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Boleta,17/12/2019 12:24:03,4.0,8736.0,189.0,Não
151,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Boleta,17/12/2019 11:01:09,1.5,3276.0,192.0,Não
152,SE CON TRI ABR/20 JUN/20 - Preço Fixo,Boleta,17/12/2019 10:12:24,0.5,1092.0,181.0,Não
153,SE CON TRI ABR/20 JUN/20 - Preço Fixo,Boleta,17/12/2019 10:01:01,5.0,10920.0,178.0,Não
154,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Balcão,17/12/2019 09:54:07,1.0,2184.0,192.0,Não
155,SE CON TRI ABR/20 JUN/20 - Preço Fixo,Balcão,17/12/2019 09:53:51,2.0,4368.0,181.5,Não
156,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Balcão,17/12/2019 09:50:38,1.0,2184.0,191.0,Não
157,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Balcão,17/12/2019 09:47:30,1.0,2184.0,190.0,Não
158,SE CON TRI ABR/20 JUN/20 - Preço Fixo,Balcão,17/12/2019 09:42:11,1.0,2184.0,177.0,Não
159,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Boleta,16/12/2019 18:02:16,1.0,2184.0,192.0,Não
160,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Balcão,16/12/2019 17:49:14,1.0,2184.0,193.0,Não
161,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Balcão,16/12/2019 17:37:03,1.0,2184.0,193.0,Não
162,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Balcão,16/12/2019 17:36:40,1.0,2184.0,193.5,Não
163,SE CON TRI ABR/20 JUN/20 - Preço Fixo,Boleta,16/12/2019 17:34:46,6.0,13104.0,178.0,Não
164,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Boleta,16/12/2019 17:32:02,1.0,2184.0,195.0,Não
165,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Boleta,16/12/2019 16:57:44,1.0,2184.0,194.5,Não
166,SE CON TRI ABR/20 JUN/20 - Preço Fixo,Balcão,16/12/2019 16:39:26,0.9,1965.6,177.0,Não
167,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Balcão,16/12/2019 16:36:36,2.0,4368.0,195.0,Não
168,SE CON TRI ABR/20 JUN/20 - Preço Fixo,Boleta,16/12/2019 16:14:49,2.0,4368.0,179.0,Não
169,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Balcão,16/12/2019 16:14:25,2.0,4368.0,195.0,Não
170,SE CON TRI ABR/20 JUN/20 - Preço Fixo,Boleta,16/12/2019 16:10:38,3.0,6552.0,178.5,Não
171,SE CON TRI ABR/20 JUN/20 - Preço Fixo,Boleta,16/12/2019 16:09:22,2.0,4368.0,179.5,Não
172,SE CON TRI ABR/20 JUN/20 - Preço Fixo,Boleta,16/12/2019 15:56:45,3.0,6552.0,179.0,Não
173,SE CON TRI ABR/20 JUN/20 - Preço Fixo,Boleta,16/12/2019 15:10:20,5.0,10920.0,180.0,Não
174,SE CON TRI ABR/20 JUN/20 - Preço Fixo,Boleta,16/12/2019 15:03:38,2.0,4368.0,180.0,Não
175,SE CON TRI ABR/20 JUN/20 - Preço Fixo,Boleta,16/12/2019 10:42:30,2.0,4368.0,182.0,Não
176,SE CON TRI ABR/20 JUN/20 - Preço Fixo,Boleta,16/12/2019 10:31:10,5.0,10920.0,180.0,Não
177,SE CON TRI ABR/20 JUN/20 - Preço Fixo,Balcão,16/12/2019 10:23:59,5.0,10920.0,180.0,Não
178,SE CON TRI ABR/20 JUN/20 - Preço Fixo,Boleta,13/12/2019 17:29:53,1.0,2184.0,180.0,Não
179,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Balcão,13/12/2019 16:40:31,3.0,6552.0,208.5,Não
180,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Boleta,13/12/2019 16:09:15,3.0,6552.0,205.5,Não
181,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Boleta,13/12/2019 16:03:50,5.0,10920.0,207.0,Não
182,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Boleta,13/12/2019 15:37:22,2.0,4368.0,206.5,Não
183,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Boleta,13/12/2019 15:10:01,1.0,2184.0,209.0,Não
184,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Boleta,13/12/2019 15:07:35,3.0,6552.0,209.0,Não
185,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Boleta,13/12/2019 14:45:54,1.0,2184.0,209.5,Não
186,SE CON TRI ABR/20 JUN/20 - Preço Fixo,Boleta,13/12/2019 14:34:53,5.0,10920.0,183.5,Não
